CO_MUNICCO_MUNICCO_STATUCO_TIPO DS_NOME DS_NOMEPDS_OBSERCO_REGIACO_UF   CO_ALTERCO_ALTERIN_CAPITIN_AMAZLIN_SEMIAIN_FRONTDT_INSTADT_EXTINCO_SUCESNU_ORDEMNU_ORDMANU_LATITNU_LONGINU_ALTITNU_AREA
       0       0IGNOR   IGNOR   IgnoradoIGNORADOIgnorado,      ,       0,      ,,       N       N       N       N                                      8
  110000 1100000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       1      110,119999    0,12N       S       N       N                                      8
  110170 1101708ATIVO   MUNIC   Urupa   URUPA                  1      11                N       S       N       N           1993                       1        -11,1285-62,3706     200 831,865
  110175 1101757ATIVO   MUNIC   Vale Do VALE DO ANARI          1      11                N       S       N       N           1997                       1        -9,85139-62,1768     1403135,141
  110180 1101807ATIVO   MUNIC   Vale Do VALE DO PARAISO        1      11                N       S       N       N           1993                       1        -10,4311-62,1344     204 965,377
  120000 1200000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       1      120,129999    0,13N       S       N       N                                      8
  120001 1200013ATIVO   MUNIC   AcrelandACRELANDIA             1      12                N       S       N       S           1993                       1        -10,0738-67,0523      25 1574,55
  120005 1200054ATIVO   MUNIC   Assis BrASSIS BRASIL           1      12                N       S       N       S           1976                       1        -10,9429-69,5635     2392875,915
  120010 1200104ATIVO   MUNIC   BrasileiBRASILEIA              1      12                N       S       N       S           1938                       1        -11,0164-68,7479     1724336,189
  120013 1200138ATIVO   MUNIC   Bujari  BUJARI                 1      12                N       S       N       S           1993                       1        -9,82002-67,9519      503467,681
  120017 1200179ATIVO   MUNIC   CapixabaCAPIXABA               1      12                N       S       N       S           1993                       1        -10,5698-67,6735      401713,412
  120020 1200203ATIVO   MUNIC   CruzeiroCRUZEIRO DO SUL        1      12                N       S       N       S           1904                       1        -7,63069-72,6725     1827924,943
  120025 1200252ATIVO   MUNIC   EpitacioEPITACIOLANDIA         1      12                N       S       N       S           1993                       1        -11,0282-68,7449       01659,131
  120030 1200302ATIVO   MUNIC   Feijo   FEIJO                  1      12                N       S       N       S           1906                       1        -8,16025 -70,354     15324202,03
  120032 1200328ATIVO   MUNIC   Jordao  JORDAO                 1      12                N       S       N       S           1993                       1        -9,19336-71,9509     2785428,765
  120033 1200336ATIVO   MUNIC   Mancio LMANCIO LIMA            1      12                N       S       N       S           1976                       1        -7,59322-72,9165     1954672,321
  120034 1200344ATIVO   MUNIC   Manoel UMANOEL URBANO          1      12                N       S       N       S           1976                       1        -8,83632-69,2599     1629386,961
  120035 1200351ATIVO   MUNIC   MarechalMARECHAL THAUMAT       1      12                N       S       N       S           1993                       1        -8,95359-72,7903     1907743,828
  120038 1200385ATIVO   MUNIC   Placido PLACIDO DE CASTR       1      12                N       S       N       S           1976                       1        -10,3351-67,1883     1362047,455
  120039 1200393ATIVO   MUNIC   Porto WaPORTO WALTER           1      12                N       S       N       S           1993                       1        -8,26667-72,7423     1956135,544
  120040 1200401ATIVO   MUNIC   Rio BranRIO BRANCO             1      12                S       S       N       S           1904                       1         -9,9783-67,8105     1539222,577
  120042 1200427ATIVO   MUNIC   RodrigueRODRIGUES ALVES        1      12                N       S       N       S           1993                       1         -7,7336-72,6479       03304,559
  120043 1200435ATIVO   MUNIC   Santa RoSANTA ROSA DO PU       1      12                N       S       N       S           1993                       1        -9,44341-70,4865      255981,137
  120045 1200450ATIVO   MUNIC   Senador SENADOR GUIOMARD       1      12                N       S       N       S           1976                       1        -10,1482-67,7432     2011837,294
  120050 1200500ATIVO   MUNIC   Sena MadSENA MADUREIRA         1      12                N       S       N       S           1904                       1        -9,06534-68,6557     150 25278,1
  120060 1200609ATIVO   MUNIC   TarauacaTARAUACA               1      12                N       S       N       S           1907                       1        -8,15567-70,7555     16815553,43
  120070 1200708ATIVO   MUNIC   Xapuri  XAPURI                 1      12                N       S       N       S           1904                       1        -10,6521-68,5063     1505250,931
  120080 1200807ATIVO   MUNIC   Porto AcPORTO ACRE             1      12                N       S       N       S           1993                       1        -9,60086-67,5406     1452984,643
  130000 1300000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       1      130,139999    0,14N       S       N       N                                      8
  130002 1300029ATIVO   MUNIC   AlvaraesALVARAES               1      130,1300290,130029N       S       N       N           1985                       1        -3,21658-64,8135      755911,754
  130006 1300060ATIVO   MUNIC   Amatura AMATURA                1      13                N       S       N       S           1985                       1        -3,36681-68,2096      584758,821
  130008 1300086ATIVO   MUNIC   Anama   ANAMA                  1      13                N       S       N       N           1985                       1        -3,57637-61,4059      282453,934
  130010 1300102ATIVO   MUNIC   Anori   ANORI                  1      13                N       S       N       N           1985                       1        -3,74539 -61,659     1205795,283
  130014 1300144ATIVO   MUNIC   Apui    APUI                   1      13                N       S       N       N           1989                       1        -7,19787-59,8857     135 54239,9
  130020 1300201ATIVO   MUNIC   Atalaia ATALAIA DO NORTE       1      13                N       S       N       S           1955                       1        -4,36616 -70,188      6576354,99
  130030 1300300ATIVO   MUNIC   Autazes AUTAZES                1      13                N       S       N       N           1985                       1        -3,57866-59,1336      367599,282
  130040 1300409ATIVO   MUNIC   BarcelosBARCELOS               1      13                N       S       N       S           1931                       1         -0,9728-62,9257      47122475,7
  130050 1300508ATIVO   MUNIC   BarreiriBARREIRINHA            1      13                N       S       N       N           1935                       1        -2,79815-57,0678      195750,534
  130060 1300607ATIVO   MUNIC   BenjaminBENJAMIN CONSTAN       1      13                N       S       N       S           1931                       1        -4,37499-70,0273      658793,429
  130063 1300631ATIVO   MUNIC   Beruri  BERURI                 1      13                N       S       N       N           1985                       1        -3,89451-61,3716      3517251,24
  130068 1300680ATIVO   MUNIC   Boa VistBOA VISTA DO RAM       1      13                N       S       N       N           1985                       1        -2,97173-57,5877      322586,829
  130070 1300706ATIVO   MUNIC   Boca Do BOCA DO ACRE           1      13                N       S       N       S           1934                       1        -8,75124-67,3996     11622348,95
  130080 1300805ATIVO   MUNIC   Borba   BORBA                  1      13                N       S       N       N           1888                       1        -4,39062-59,5946      4544251,19
  130083 1300839ATIVO   MUNIC   CaapiranCAAPIRANGA             1      13                N       S       N       N           1985                       1        -3,33009-61,2113      329456,578
  130090 1300904ATIVO   MUNIC   CanutamaCANUTAMA               1      13                N       S       N       S           1931                       1        -6,52911-64,3942      5529819,63
  130100 1301001ATIVO   MUNIC   CarauariCARAUARI               1      13                N       S       N       N           1931                       1        -4,88167-66,8966      8725767,35
  130110 1301100ATIVO   MUNIC   Careiro CAREIRO                1      13                N       S       N       N           1955                       1        -3,82245-60,3638      276091,547
  130115 1301159ATIVO   MUNIC   Careiro CAREIRO DA VARZE       1      13                N       S       N       N           1989                       1         -3,1974-59,8263      252631,128
  130120 1301209ATIVO   MUNIC   Coari   COARI                  1      13                N       S       N       N           1874                       1        -4,08422-63,1422      1057921,65
  130130 1301308ATIVO   MUNIC   Codajas CODAJAS                1      13                N       S       N       N           1875                       1        -3,84305-62,0634      4718711,63
  130140 1301407ATIVO   MUNIC   EirunepeEIRUNEPE               1      13                N       S       N       N           1894                       1        -6,66735-69,8663     12415831,57
  130150 1301506ATIVO   MUNIC   Envira  ENVIRA                 1      13                N       S       N       S           1955                       1        -7,43982-70,0304     13513369,29
  130160 1301605ATIVO   MUNIC   Fonte BoFONTE BOA              1      13                N       S       N       N           1891                       1        -2,51227-66,0965      6212110,91
  130165 1301654ATIVO   MUNIC   Guajara GUAJARA                1      13                N       S       N       S           1989                       1        -7,54777-72,5824       08904,244
  130170 1301704ATIVO   MUNIC   Humaita HUMAITA                1      13                N       S       N       N           1890                       1        -7,51222-63,0267      5833071,67
  130180 1301803ATIVO   MUNIC   Ipixuna IPIXUNA                1      13                N       S       N       S           1955                       1        -7,05098-71,6944     19013565,92
  130185 1301852ATIVO   MUNIC   IrandubaIRANDUBA               1      13                N       S       N       N           1985                       1        -3,28105-60,1934      602215,033
  130190 1301902ATIVO   MUNIC   ItacoatiITACOATIARA            1      13                N       S       N       N           1874                       1        -3,14038-58,4402      268891,993
  130195 1301951ATIVO   MUNIC   ItamaratITAMARATI              1      13                N       S       N       N           1985                       1         -6,4378-68,2479      6025275,89
  130200 1302009ATIVO   MUNIC   ItapiranITAPIRANGA             1      13                N       S       N       N           1935                       1        -2,74184-58,0345      434231,132
  130210 1302108ATIVO   MUNIC   Japura  JAPURA                 1      13                N       S       N       S           1955                       1        -1,88084-66,9969      5055791,48
  130220 1302207ATIVO   MUNIC   Jurua   JURUA                  1      13                N       S       N       N           1955                       1        -3,47489 -66,063      5519400,42
  130230 1302306ATIVO   MUNIC   Jutai   JUTAI                  1      13                N       S       N       S           1955                       1        -2,74465-66,7713      4869551,86
  130240 1302405ATIVO   MUNIC   Labrea  LABREA                 1      13                N       S       N       S           1881                       1        -7,26195-64,7948      7568229,01
  130250 1302504ATIVO   MUNIC   ManacapuMANACAPURU             1      13                N       S       N       N           1894                       1        -3,29828-60,6206      607329,234
  130255 1302553ATIVO   MUNIC   ManaquirMANAQUIRI              1      13                N       S       N       N           1985                       1        -3,42908-60,4589      483975,759
  130260 1302603ATIVO   MUNIC   Manaus  MANAUS                 1      130,1326030,132603S       S       N       N           1833                       1        -3,13469-60,0233      9211401,06
  130270 1302702ATIVO   MUNIC   ManicoreMANICORE               1      13                N       S       N       N           1877                       1        -5,81321-61,2992      4548282,48
  130280 1302801ATIVO   MUNIC   Maraa   MARAA                  1      13                N       S       N       N           1955                       1        -1,86644-65,5743      5016910,42
  130290 1302900ATIVO   MUNIC   Maues   MAUES                  1      13                N       S       N       N           1833                       1        -3,38643 -57,715      2539988,39
  130300 1303007ATIVO   MUNIC   NhamundaNHAMUNDA               1      13                N       S       N       S           1955                       1        -2,18898-56,7168      2514105,62
  130310 1303106ATIVO   MUNIC   Nova OliNOVA OLINDA DO N       1      13                N       S       N       N           1955                       1        -3,88759-59,0931      325608,548
  130320 1303205ATIVO   MUNIC   Novo AirNOVO AIRAO             1      13                N       S       N       N           1955                       1        -2,62343-60,9488      4537771,25
  130330 1303304ATIVO   MUNIC   Novo AriNOVO ARIPUANA          1      13                N       S       N       N           1955                       1        -5,12267 -60,377      2041191,35
  130340 1303403ATIVO   MUNIC   ParintinPARINTINS              1      130,1334030,133404N       S       N       N           1848                       1        -2,62705-56,7363      275952,333
  130350 1303502ATIVO   MUNIC   Pauini  PAUINI                 1      13                N       S       N       S           1955                       1        -7,71404-67,0021     10143263,39
  130353 1303536ATIVO   MUNIC   PresidenPRESIDENTE FIGUE       1      13                N       S       N       N           1985                       1        -2,05843-60,0256     12225422,24
  130356 1303569ATIVO   MUNIC   Rio PretRIO PRETO DA EVA       1      13                N       S       N       N           1985                       1         -2,6933-59,7047      475813,197
  130360 1303601ATIVO   MUNIC   Santa IsSANTA ISABEL DO        1      13                N       S       N       S           1956                       1        -0,41669  -65,02      6062846,24
  130370 1303700ATIVO   MUNIC   Santo AnSANTO ANTONIO DO       1      13                N       S       N       S           1955                       1        -3,10749-67,9465      9112307,77
  130380 1303809ATIVO   MUNIC   Sao GabrSAO GABRIEL DA C       1      13                N       S       N       S           1935                       1        -0,13646-67,0836     132109184,9
  130390 1303908ATIVO   MUNIC   Sao PaulSAO PAULO DE OLI       1      13                N       S       N       S           1882                       1        -3,46651-68,9449     10219745,81
  130395 1303957ATIVO   MUNIC   Sao SebaSAO SEBASTIAO DO       1      13                N       S       N       N           1985                       1        -2,57015-57,8703      2410741,04
  130400 1304005ATIVO   MUNIC   Silves  SILVES                 1      13                N       S       N       N           1985                       1        -2,83643-58,2148      463748,818
  130406 1304062ATIVO   MUNIC   TabatingTABATINGA              1      13                N       S       N       S           1981                       1        -4,23188-69,9462      603225,064
  130410 1304104ATIVO   MUNIC   Tapaua  TAPAUA                 1      13                N       S       N       N           1955                       1        -5,62422-63,1871      5489324,26
  130420 1304203ATIVO   MUNIC   Tefe    TEFE                   1      13                N       S       N       N           1759                       1        -3,34837-64,7084      7523704,43
  130423 1304237ATIVO   MUNIC   TonantinTONANTINS              1      13                N       S       N       S           1985                       1        -2,86109-67,7765      556432,586
  130426 1304260ATIVO   MUNIC   Uarini  UARINI                 1      13                N       S       N       N           1985                       1        -2,98361-65,1553      6010246,22
  130430 1304302ATIVO   MUNIC   Urucara URUCARA                1      13                N       S       N       S           1887                       1        -2,53661-57,7598      2627904,86
  130440 1304401ATIVO   MUNIC   UrucuritURUCURITUBA            1      13                N       S       N       N           1935                       1        -3,13463-58,1596      402906,677
  140000 1400000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       1      140,149999    0,15N       S       N       N                                      8
  140002 1400027ATIVO   MUNIC   Amajari AMAJARI                1      14                N       S       N       S           1997                       1        3,652118-61,4206     10028472,22
  140005 1400050ATIVO   MUNIC   Alto AleALTO ALEGRE            1      14                N       S       N       S           1982                       1        2,993823 -61,314      7225566,85
  140010 1400100ATIVO   MUNIC   Boa VistBOA VISTA              1      14  0,14010,140101S       S       N       S           1943                       1        2,816682-60,6705      855687,064
  140015 1400159ATIVO   MUNIC   Bonfim  BONFIM                 1      14                N       S       N       S           1982                       1        3,350289 -59,878      928095,319
  140017 1400175ATIVO   MUNIC   Canta   CANTA                  1      14                N       S       N       S           1997                       1        2,607666-60,6021     1007664,797
  140020 1400209ATIVO   MUNIC   CaracaraCARACARAI              1      14                N       S       N       S           1955                       1        1,803871-61,1492      5247410,89
  140023 1400233ATIVO   MUNIC   Caroebe CAROEBE                1      14                N       S       N       S           1997                       1        0,872675-59,6948     13512065,54
  140028 1400282ATIVO   MUNIC   Iracema IRACEMA                1      14                N       S       N       S           1997                       1        2,168215-61,0523      8014119,41
  140030 1400308ATIVO   MUNIC   Mucajai MUCAJAI                1      14                N       S       N       S           1982                       1        2,479772-60,9115      7012751,26
  140040 1400407ATIVO   MUNIC   NormandiNORMANDIA              1      14                N       S       N       S           1982                       1        3,882978-59,6352     1006966,777
  140045 1400456ATIVO   MUNIC   PacaraimPACARAIMA              1      14                N       S       N       S           1997                       1        4,475259-61,1473     9208028,428
  140047 1400472ATIVO   MUNIC   RorainopRORAINOPOLIS           1      14                N       S       N       S           1997                       1        0,937195-60,4251      9833593,89
  140050 1400506ATIVO   MUNIC   Sao JoaoSAO JOAO DA BALI       1      14                N       S       N       S           1982                       1        0,947157 -59,906     2554284,122
  140060 1400605ATIVO   MUNIC   Sao LuizSAO LUIZ               1      14                N       S       N       S           1982                       1        1,018112-60,0283      521526,892
  140070 1400704ATIVO   MUNIC   UiramutaUIRAMUTA               1      14                N       S       N       S           1997                       1         4,58544-60,1957       0 8065,52
  150000 1500000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       1      150,159999    0,16N       S       N       N                                      8
  150010 1500107ATIVO   MUNIC   AbaetetuABAETETUBA             1      15                N       S       N       N           1880                       1        -1,72347-48,8844      101610,743
  150013 1500131ATIVO   MUNIC   Abel FigABEL FIGUEIREDO        1      15                N       S       N       N           1993                       1        -4,95139-48,3968       0 614,252
  150020 1500206ATIVO   MUNIC   Acara   ACARA                  1      15                N       S       N       N           1932                       1        -1,96344-48,2005      254343,772
  150030 1500305ATIVO   MUNIC   Afua    AFUA                   1      15                N       S       N       N           1890                       1        -0,15917-50,3914       88372,772
  150034 1500347ATIVO   MUNIC   Agua AzuAGUA AZUL DO NOR       1      15                N       S       N       N           1993                       1        -6,80495-50,4853       07576,621
  150040 1500404ATIVO   MUNIC   AlenquerALENQUER               1      15                N       S       N       S           1848                       1         -1,9514-54,7409      5222282,08
  150050 1500503ATIVO   MUNIC   AlmeirimALMEIRIM               1      15                N       S       N       S           1930                       1        -1,52734-52,5768      6572960,27
  150060 1500602ATIVO   MUNIC   AltamiraALTAMIRA               1      15                N       S       N       N           1911                       1        -3,20566-52,2144     109159695,9
  150070 1500701ATIVO   MUNIC   Anajas  ANAJAS                 1      15                N       S       N       N           1938                       1        -0,98445 -49,945      106921,709
  150080 1500800ATIVO   MUNIC   AnanindeANANINDEUA             1      15                N       S       N       N           1943                       1        -1,36871-48,3721      17 185,057
  150085 1500859ATIVO   MUNIC   Anapu   ANAPU                  1      15                N       S       N       N           1997                       1         -3,4761-51,2016      9611895,21
  150090 1500909ATIVO   MUNIC   Augusto AUGUSTO CORREA         1      15                N       S       N       N           1961                       1        -1,02292-46,6416      201091,043
  150095 1500958ATIVO   MUNIC   Aurora DAURORA DO PARA         1      15                N       S       N       N           1993                       1        -2,12938-47,5562      501811,827
  150100 1501006ATIVO   MUNIC   Aveiro  AVEIRO                 1      15                N       S       N       N           1961                       1         -3,6056-55,3307      2817074,29
  150110 1501105ATIVO   MUNIC   Bagre   BAGRE                  1      15                N       S       N       N           1961                       1        -1,88981 -50,222      31 4397,29
  150120 1501204ATIVO   MUNIC   Baiao   BAIAO                  1      15                N       S       N       N           1833                       1        -2,79196-49,6728      303758,273
  150125 1501253ATIVO   MUNIC   Bannach BANNACH                1      15                N       S       N       N           1997                       1        -7,35107 -50,406     4202956,633
  150130 1501303ATIVO   MUNIC   BarcarenBARCARENA              1      15                N       S       N       N           1943                       1        -1,50577-48,6271      151310,325
  150140 1501402ATIVO   MUNIC   Belem   BELEM                  1      15                S       S       N       N           1616                       1        -1,45985-48,4878      101064,918
  150145 1501451ATIVO   MUNIC   BelterraBELTERRA               1      15                N       S       N       N           1997                       1        -2,64902-54,9427     1524398,346
  150150 1501501ATIVO   MUNIC   BenevideBENEVIDES              1      15                N       S       N       N           1961                       1        -1,36144-48,2418      28 187,868
  150157 1501576ATIVO   MUNIC   Bom JesuBOM JESUS DO TOC       1      15                N       S       N       N           1989                       1        -5,04736 -48,599     1752816,425
  150160 1501600ATIVO   MUNIC   Bonito  BONITO                 1      15                N       S       N       N           1961                       1        -1,36747-47,3059      49 587,497
  150170 1501709ATIVO   MUNIC   BragancaBRAGANCA               1      15                N       S       N       N           1753                       1        -1,05352-46,7658      192090,234
  150172 1501725ATIVO   MUNIC   Brasil NBRASIL NOVO            1      15                N       S       N       N           1993                       1         -3,2978-52,5434       06368,246
  150175 1501758ATIVO   MUNIC   Brejo GrBREJO GRANDE DO        1      15                N       S       N       N           1989                       1         -5,7073-48,4058     1101187,816
  150178 1501782ATIVO   MUNIC   Breu BraBREU BRANCO            1      15                N       S       N       N           1993                       1        -3,77814-49,5699       03943,171
  150180 1501808ATIVO   MUNIC   Breves  BREVES                 1      15                N       S       N       N           1851                       1        -1,69074-50,4809      409550,454
  150190 1501907ATIVO   MUNIC   Bujaru  BUJARU                 1      15                N       S       N       N           1943                       1        -1,51399-48,0359      10 1005,16
  150195 1501956ATIVO   MUNIC   CachoeirCACHOEIRA DO PIR       1      15                N       S       N       N           1997                       1         -1,7529-46,5474       02418,277
  150200 1502004ATIVO   MUNIC   CachoeirCACHOEIRA DO ARA       1      15                N       S       N       N           1935                       1        -1,00879-48,9607      20 3102,08
  150210 1502103ATIVO   MUNIC   Cameta  CAMETA                 1      15                N       S       N       N           1635                       1        -2,24684-49,4978     150 3081,36
  150215 1502152ATIVO   MUNIC   Canaa DoCANAA DOS CARAJA       1      15                N       S       N       N           1997                       1         -6,5322 -49,849     2103146,608
  150220 1502202ATIVO   MUNIC   CapanemaCAPANEMA               1      15                N       S       N       N           1902                       1        -1,19244-47,1751      24 614,026
  150230 1502301ATIVO   MUNIC   Capitao CAPITAO POCO           1      15                N       S       N       N           1961                       1        -1,74619-47,0628      732899,532
  150240 1502400ATIVO   MUNIC   CastanhaCASTANHAL              1      15                N       S       N       N           1932                       1        -1,29576-47,9266      411029,191
  150250 1502509ATIVO   MUNIC   Chaves  CHAVES                 1      15                N       S       N       N           1755                       1        -0,16244-49,9893       613084,88
  150260 1502608ATIVO   MUNIC   Colares COLARES                1      15                N       S       N       N           1961                       1        -0,93209-48,2887      15 609,776
  150270 1502707ATIVO   MUNIC   ConceicaCONCEICAO DO ARA       1      15                N       S       N       N           1935                       1        -8,26486-49,2645     1655829,441
  150275 1502756ATIVO   MUNIC   ConcordiCONCORDIA DO PAR       1      15                N       S       N       N           1989                       1        -1,98452-47,9499     440 690,942
  150276 1502764ATIVO   MUNIC   Cumaru DCUMARU DO NORTE        1      15                N       S       N       N           1993                       1        -7,81111-50,7716     29917084,91
  150277 1502772ATIVO   MUNIC   CurionopCURIONOPOLIS           1      15                N       S       N       N           1989                       1        -6,09682-49,6022     1802368,698
  150280 1502806ATIVO   MUNIC   CurralinCURRALINHO             1      15                N       S       N       N           1865                       1        -1,80942-49,7915      15 3617,24
